handle,word,rate,count
HillaryClinton,abolish,-1,2
HillaryClinton,absurd,-1,3
HillaryClinton,absurdity,-1,1
HillaryClinton,abuse,-1,3
HillaryClinton,abusive,-1,2
HillaryClinton,accomplished,1,1
HillaryClinton,accomplishment,1,1
HillaryClinton,accuse,-1,1
HillaryClinton,accuses,-1,1
HillaryClinton,admiration,1,2
HillaryClinton,admire,1,2
HillaryClinton,advanced,1,1
HillaryClinton,advantage,1,5
HillaryClinton,advocate,1,3
HillaryClinton,advocated,1,1
HillaryClinton,afford,1,23
HillaryClinton,affordable,1,16
HillaryClinton,afraid,-1,7
HillaryClinton,alarming,-1,1
HillaryClinton,allegations,-1,1
HillaryClinton,amazing,1,3
HillaryClinton,ambiguity,-1,1
HillaryClinton,anger,-1,1
HillaryClinton,angry,-1,1
HillaryClinton,anomaly,-1,1
HillaryClinton,anxious,-1,1
HillaryClinton,appalled,-1,1
HillaryClinton,appalling,-1,1
HillaryClinton,appeal,1,1
HillaryClinton,appealing,1,1
HillaryClinton,applaud,1,3
HillaryClinton,approve,1,3
HillaryClinton,asinine,-1,1
HillaryClinton,assault,-1,6
HillaryClinton,astonishing,1,1
HillaryClinton,astound,1,1
HillaryClinton,attack,-1,18
HillaryClinton,attacks,-1,9
HillaryClinton,available,1,1
HillaryClinton,awarded,1,1
HillaryClinton,awe,1,1
HillaryClinton,awful,-1,2
HillaryClinton,backbone,1,2
HillaryClinton,backward,-1,1
HillaryClinton,bad,-1,13
HillaryClinton,badly,-1,3
HillaryClinton,bait,-1,3
HillaryClinton,bankrupt,-1,8
HillaryClinton,bargain,1,2
HillaryClinton,beautiful,1,3
HillaryClinton,belittling,-1,1
HillaryClinton,beloved,1,1
HillaryClinton,benefit,1,3
HillaryClinton,benefits,1,12
HillaryClinton,best,1,45
HillaryClinton,betray,-1,1
HillaryClinton,betrays,-1,1
HillaryClinton,better,1,54
HillaryClinton,bias,-1,1
HillaryClinton,bigotry,-1,11
HillaryClinton,bizarre,-1,1
HillaryClinton,blame,-1,3
HillaryClinton,blatantly,-1,1
HillaryClinton,bless,1,1
HillaryClinton,bloody,-1,1
HillaryClinton,blow,-1,1
HillaryClinton,bomb,-1,1
HillaryClinton,bonus,1,1
HillaryClinton,bonuses,1,1
HillaryClinton,boost,1,1
HillaryClinton,boundless,1,1
HillaryClinton,brave,1,7
HillaryClinton,bravo,1,1
HillaryClinton,break,-1,13
HillaryClinton,breaking,-1,8
HillaryClinton,breaks,-1,10
HillaryClinton,breakthroughs,1,1
HillaryClinton,bright,1,1
HillaryClinton,brighter,1,1
HillaryClinton,brilliance,1,1
HillaryClinton,broke,-1,2
HillaryClinton,broken,-1,3
HillaryClinton,brutal,-1,4
HillaryClinton,bullies,-1,2
HillaryClinton,bully,-1,6
HillaryClinton,bullying,-1,3
HillaryClinton,calm,1,2
HillaryClinton,cancer,-1,2
HillaryClinton,capable,1,1
HillaryClinton,catastrophe,-1,1
HillaryClinton,celebrate,1,15
HillaryClinton,champion,1,8
HillaryClinton,charitable,1,3
HillaryClinton,cheating,-1,2
HillaryClinton,cheats,-1,1
HillaryClinton,cherished,1,1
HillaryClinton,choke,-1,1
HillaryClinton,clean,1,12
HillaryClinton,cleaner,1,2
HillaryClinton,clear,1,20
HillaryClinton,clears,1,2
HillaryClinton,commitment,1,6
HillaryClinton,compassion,1,4
HillaryClinton,competitive,1,1
HillaryClinton,complains,-1,1
HillaryClinton,complicated,-1,1
HillaryClinton,comprehensive,1,9
HillaryClinton,concern,-1,2
HillaryClinton,concerned,-1,6
HillaryClinton,condemn,-1,4
HillaryClinton,confession,-1,1
HillaryClinton,confessions,-1,1
HillaryClinton,confidence,1,2
HillaryClinton,conflict,-1,2
HillaryClinton,conflicts,-1,1
HillaryClinton,confront,-1,3
HillaryClinton,congratulate,1,2
HillaryClinton,conservative,-1,1
HillaryClinton,consistently,1,2
HillaryClinton,conspiracy,-1,8
HillaryClinton,contempt,-1,1
HillaryClinton,cool,1,2
HillaryClinton,correct,1,2
HillaryClinton,corruption,-1,1
HillaryClinton,courage,1,13
HillaryClinton,coward,-1,1
HillaryClinton,cozy,1,3
HillaryClinton,crack,-1,3
HillaryClinton,cracks,-1,1
HillaryClinton,crash,-1,6
HillaryClinton,crashed,-1,3
HillaryClinton,crime,-1,4
HillaryClinton,criminal,-1,9
HillaryClinton,crisis,-1,16
HillaryClinton,critical,-1,4
HillaryClinton,criticism,-1,1
HillaryClinton,criticize,-1,1
HillaryClinton,criticized,-1,5
HillaryClinton,critics,-1,1
HillaryClinton,cruel,-1,2
HillaryClinton,crushing,-1,1
HillaryClinton,cynical,-1,1
HillaryClinton,cynicism,-1,1
HillaryClinton,damage,-1,2
HillaryClinton,damn,-1,1
HillaryClinton,damning,-1,1
HillaryClinton,danger,-1,1
HillaryClinton,dangerous,-1,26
HillaryClinton,dark,-1,2
HillaryClinton,daunting,-1,3
HillaryClinton,dauntless,1,1
HillaryClinton,dead,-1,1
HillaryClinton,deadly,-1,2
HillaryClinton,death,-1,6
HillaryClinton,debt,-1,33
HillaryClinton,debts,-1,1
HillaryClinton,decent,1,4
HillaryClinton,decline,-1,1
HillaryClinton,dedicated,1,1
HillaryClinton,defeat,1,13
HillaryClinton,defeated,1,1
HillaryClinton,defeating,1,3
HillaryClinton,defects,-1,1
HillaryClinton,defender,1,1
HillaryClinton,delay,-1,1
HillaryClinton,demeaning,-1,1
HillaryClinton,demonize,-1,2
HillaryClinton,demonizing,-1,1
HillaryClinton,denial,-1,1
HillaryClinton,denigrate,-1,1
HillaryClinton,deny,-1,2
HillaryClinton,denying,-1,3
HillaryClinton,deplorable,-1,5
HillaryClinton,depression,-1,1
HillaryClinton,deride,-1,1
HillaryClinton,despair,-1,1
HillaryClinton,desperately,-1,1
HillaryClinton,despicable,-1,1
HillaryClinton,destiny,1,1
HillaryClinton,destroy,-1,5
HillaryClinton,devastate,-1,1
HillaryClinton,devastating,-1,6
HillaryClinton,devil,-1,1
HillaryClinton,die,-1,2
HillaryClinton,died,-1,5
HillaryClinton,difficult,-1,3
HillaryClinton,dignity,1,6
HillaryClinton,diplomatic,1,1
HillaryClinton,dirty,-1,1
HillaryClinton,disabled,-1,1
HillaryClinton,disagree,-1,1
HillaryClinton,disagrees,-1,1
HillaryClinton,disappointed,-1,1
HillaryClinton,disaster,-1,4
HillaryClinton,disastrous,-1,2
HillaryClinton,disavow,-1,2
HillaryClinton,discriminate,-1,2
HillaryClinton,discrimination,-1,12
HillaryClinton,disgrace,-1,1
HillaryClinton,disgusting,-1,2
HillaryClinton,dismal,-1,1
HillaryClinton,disparage,-1,1
HillaryClinton,disparaging,-1,2
HillaryClinton,displaced,-1,1
HillaryClinton,disrespect,-1,4
HillaryClinton,disrespectful,-1,1
HillaryClinton,distinction,1,1
HillaryClinton,distinguished,1,1
HillaryClinton,distract,-1,1
HillaryClinton,distracting,-1,1
HillaryClinton,disturbing,-1,2
HillaryClinton,divisive,-1,10
HillaryClinton,doubt,-1,6
HillaryClinton,doubts,-1,2
HillaryClinton,drag,-1,1
HillaryClinton,drastic,-1,1
HillaryClinton,drought,-1,1
HillaryClinton,drowning,-1,1
HillaryClinton,dust,-1,1
HillaryClinton,dynamic,1,1
HillaryClinton,eagerly,1,1
HillaryClinton,easier,1,15
HillaryClinton,easy,1,3
HillaryClinton,effective,1,3
HillaryClinton,effectively,1,1
HillaryClinton,emergency,-1,6
HillaryClinton,empathy,1,3
HillaryClinton,empower,1,1
HillaryClinton,empowerment,1,1
HillaryClinton,encouraging,1,2
HillaryClinton,endorse,1,4
HillaryClinton,endorsed,1,7
HillaryClinton,endorsement,1,4
HillaryClinton,endorses,1,9
HillaryClinton,endorsing,1,7
HillaryClinton,enemies,-1,1
HillaryClinton,enemy,-1,1
HillaryClinton,enhanced,1,1
HillaryClinton,enjoy,1,2
HillaryClinton,enjoyed,1,1
HillaryClinton,enjoying,1,1
HillaryClinton,enough,1,22
HillaryClinton,epidemic,-1,5
HillaryClinton,eulogize,1,1
HillaryClinton,exceeded,1,1
HillaryClinton,exceptional,1,2
HillaryClinton,excessive,-1,1
HillaryClinton,excited,1,3
HillaryClinton,exciting,1,2
HillaryClinton,expansive,1,1
HillaryClinton,expensive,-1,2
HillaryClinton,exploit,-1,2
HillaryClinton,fail,-1,2
HillaryClinton,failed,-1,5
HillaryClinton,failing,-1,5
HillaryClinton,fails,-1,1
HillaryClinton,failure,-1,2
HillaryClinton,fair,1,15
HillaryClinton,fairly,1,1
HillaryClinton,fairness,1,3
HillaryClinton,faith,1,11
HillaryClinton,faithful,1,1
HillaryClinton,fake,-1,2
HillaryClinton,fall,-1,8
HillaryClinton,fallen,-1,3
HillaryClinton,falling,-1,1
HillaryClinton,falls,-1,5
HillaryClinton,falter,-1,1
HillaryClinton,famous,1,2
HillaryClinton,famously,1,1
HillaryClinton,fans,1,2
HillaryClinton,fantastic,1,1
HillaryClinton,fastest,1,1
HillaryClinton,fat,-1,1
HillaryClinton,faults,-1,1
HillaryClinton,favor,1,2
HillaryClinton,favorite,1,5
HillaryClinton,fear,-1,19
HillaryClinton,fearful,-1,1
HillaryClinton,fears,-1,2
HillaryClinton,fierce,-1,1
HillaryClinton,fine,1,2
HillaryClinton,finest,1,2
HillaryClinton,flashy,1,1
HillaryClinton,fleeing,-1,1
HillaryClinton,fool,-1,1
HillaryClinton,fortunate,1,1
HillaryClinton,fraud,-1,5
HillaryClinton,fraudulent,-1,1
HillaryClinton,free,1,15
HillaryClinton,freedom,1,10
HillaryClinton,freedoms,1,1
HillaryClinton,fresh,1,1
HillaryClinton,friction,-1,1
HillaryClinton,fun,1,2
HillaryClinton,funny,-1,1
HillaryClinton,furious,-1,1
HillaryClinton,gain,1,4
HillaryClinton,gained,1,4
HillaryClinton,gall,-1,1
HillaryClinton,gem,1,1
HillaryClinton,generous,1,1
HillaryClinton,glad,1,3
HillaryClinton,gold,1,23
HillaryClinton,golden,1,1
HillaryClinton,good,1,64
HillaryClinton,grace,1,1
HillaryClinton,grapple,-1,1
HillaryClinton,grateful,1,9
HillaryClinton,gratitude,1,3
HillaryClinton,great,1,61
HillaryClinton,greatest,1,10
HillaryClinton,greatness,1,1
HillaryClinton,greed,-1,1
HillaryClinton,grieving,-1,1
HillaryClinton,guarantee,1,4
HillaryClinton,hail,1,1
HillaryClinton,hangs,-1,2
HillaryClinton,happier,1,1
HillaryClinton,happy,1,23
HillaryClinton,hard,-1,33
HillaryClinton,harm,-1,1
HillaryClinton,harmful,-1,3
HillaryClinton,hate,-1,31
